Date,MPRN,Meter Serial Number,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,00:00
08/05/2021,10306910999,32308387,0.15,0.12,0.11,0.12,0.19,0.12,0.17,0.08,0.12,0.10,0.08,0.08,0.11,0.11,0.09,0.12,0.16,0.21,0.11,0.05,0.01,0.37,0.67,0.82,0.03,0.02,0.26,0.25,0.05,0.07,0.33,0.51,0.21,0.01,0.07,0.13,0.17,0.18,0.21,0.21,0.17,0.22,0.21,0.17,0.15,0.15,0.18,0.11
09/05/2021,10306910999,32308387,0.13,0.15,0.17,0.12,0.12,0.15,0.16,0.11,0.11,0.08,0.11,0.07,0.04,0.05,0.06,0.04,0.07,0.09,0.21,0.57,0.03,0.67,0.15,0.11,0.20,0.21,0.32,0.76,0.82,0.41,0.18,0.09,0.12,0.19,0.51,0.09,0.10,1.00,2.55,0.74,0.30,0.70,0.19,0.22,0.18,0.15,0.14,0.13
10/05/2021,10306910999,32308387,0.12,0.09,0.10,0.15,0.14,0.08,0.07,0.11,0.08,0.07,0.07,0.09,0.02,0.02,0.03,0.15,0.03,0.09,0.05,0.02,0.01,0.00,0.01,0.36,0.02,0.03,0.27,0.17,0.05,0.03,0.10,0.04,0.18,0.22,0.17,0.19,0.18,0.75,0.74,0.24,0.18,0.16,0.09,0.13,0.10,0.10,0.12,0.17
11/05/2021,10306910999,32308387,0.14,0.15,0.11,0.09,0.07,0.07,0.12,0.09,0.07,0.08,0.11,0.03,0.00,0.00,0.37,0.06,0.01,0.03,0.00,0.00,0.06,0.02,0.00,0.00,0.08,0.28,0.00,0.00,0.27,0.01,0.01,0.03,0.06,0.12,0.17,0.16,0.22,0.26,0.18,0.97,0.80,0.22,0.16,0.18,0.11,0.12,0.15,0.14
12/05/2021,10306910999,32308387,0.13,0.17,0.13,0.15,0.14,0.14,0.08,0.08,0.12,0.11,0.08,0.07,0.12,0.15,0.50,0.06,0.04,0.29,0.06,0.00,0.01,0.04,0.10,0.18,0.06,0.11,0.10,0.08,0.02,0.08,0.14,0.19,0.16,0.21,0.26,0.17,0.21,0.89,0.71,0.14,0.21,0.67,0.17,0.20,0.51,0.14,0.14,0.13
13/05/2021,10306910999,32308387,0.16,0.14,0.15,0.20,0.17,0.15,0.15,0.11,0.08,0.08,0.11,0.06,0.00,0.00,0.00,0.00,0.09,0.00,0.04,0.01,0.02,0.01,0.04,0.04,0.16,0.83,0.22,0.19,0.12,0.05,0.08,0.10,0.17,0.13,0.12,0.10,0.15,0.72,1.47,0.76,0.68,0.15,0.14,0.45,0.22,0.12,0.17,0.18
14/05/2021,10306910999,32308387,0.14,0.16,0.14,0.11,0.14,0.10,0.08,0.11,0.10,0.08,0.11,0.08,0.01,0.02,0.01,0.04,0.00,0.02,0.07,0.20,0.19,0.13,0.03,0.01,0.00,0.00,0.02,0.01,0.04,0.05,0.01,0.12,0.06,0.10,0.15,0.12,0.14,0.19,0.18,0.18,0.18,0.12,0.21,0.10,0.09,0.13,0.12,0.18
15/05/2021,10306910999,32308387,0.13,0.10,0.12,0.18,0.16,0.12,0.10,0.07,0.10,0.10,0.07,0.09,0.09,0.07,0.09,0.10,0.28,0.51,0.23,0.09,0.39,0.09,0.03,0.10,0.11,0.01,0.01,0.01,0.02,0.06,0.15,0.15,0.12,0.14,0.14,0.13,0.11,0.15,0.38,0.30,0.21,0.16,0.53,0.36,0.12,0.20,0.43,0.12
16/05/2021,10306910999,32308387,0.14,0.14,0.14,0.10,0.08,0.12,0.08,0.09,0.12,0.08,0.09,0.04,0.03,0.09,0.08,0.01,0.13,0.12,0.04,0.07,0.04,0.20,0.10,0.11,0.12,0.47,0.00,0.02,0.05,0.07,0.07,0.07,0.09,0.14,0.93,0.25,0.33,0.61,1.09,0.99,0.24,0.76,1.35,0.46,0.16,0.17,0.13,0.14
17/05/2021,10306910999,32308387,0.15,0.12,0.15,0.15,0.14,0.13,0.09,0.08,0.12,0.09,0.06,0.05,0.06,0.03,0.03,0.06,0.02,0.33,0.05,0.06,0.09,0.02,0.02,0.13,0.01,0.01,0.01,0.02,0.01,0.00,0.02,0.04,0.08,0.06,0.11,0.08,0.25,1.69,0.80,0.09,0.19,0.07,0.10,0.10,0.13,0.17,0.13,0.16
